QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Julio Jones (7558864),Julio Jones,7558864,9600,Atl@Den 04:05PM ET,Atl,
,,,,,,,,,,WR,A.J. Green (7558873),A.J. Green,7558873,8900,Cin@Dal 04:25PM ET,Cin,
,,,,,,,,,,WR,Dez Bryant (7558872),Dez Bryant,7558872,7700,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,WR,Amari Cooper (7558901),Amari Cooper,7558901,7200,SD@Oak 04:25PM ET,Oak,
,,,,,,,,,,QB,Matt Ryan (7558803),Matt Ryan,7558803,7100,Atl@Den 04:05PM ET,Atl,
,,,,,,,,,,RB,Melvin Gordon (7558855),Melvin Gordon,7558855,7000,SD@Oak 04:25PM ET,SD,
,,,,,,,,,,RB,C.J. Anderson (7558828),C.J. Anderson,7558828,6900,Atl@Den 04:05PM ET,Den,
,,,,,,,,,,WR,Demaryius Thomas (7558862),Demaryius Thomas,7558862,6900,Atl@Den 04:05PM ET,Den,
,,,,,,,,,,QB,Philip Rivers (7558821),Philip Rivers,7558821,6900,SD@Oak 04:25PM ET,SD,
,,,,,,,,,,WR,Michael Crabtree (7558895),Michael Crabtree,7558895,6900,SD@Oak 04:25PM ET,Oak,
,,,,,,,,,,WR,Emmanuel Sanders (7558861),Emmanuel Sanders,7558861,6800,Atl@Den 04:05PM ET,Den,
,,,,,,,,,,RB,Ezekiel Elliott (7558840),Ezekiel Elliott,7558840,6800,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,QB,Derek Carr (7558823),Derek Carr,7558823,6800,SD@Oak 04:25PM ET,Oak,
,,,,,,,,,,RB,LeSean McCoy (7558844),LeSean McCoy,7558844,6600,Buf@LA 04:25PM ET,Buf,
,,,,,,,,,,RB,Todd Gurley (7558849),Todd Gurley,7558849,6500,Buf@LA 04:25PM ET,LA,
,,,,,,,,,,WR,Travis Benjamin (7558898),Travis Benjamin,7558898,6500,SD@Oak 04:25PM ET,SD,
,,,,,,,,,,QB,Tony Romo (7558808),Tony Romo,7558808,6000,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,QB,Andy Dalton (7558810),Andy Dalton,7558810,5900,Cin@Dal 04:25PM ET,Cin,
,,,,,,,,,,QB,Dak Prescott (7558812),Dak Prescott,7558812,5600,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,QB,Trevor Siemian (7558806),Trevor Siemian,7558806,5200,Atl@Den 04:05PM ET,Den,
,,,,,,,,,,QB,Paxton Lynch (7558807),Paxton Lynch,7558807,5200,Atl@Den 04:05PM ET,Den,
,,,,,,,,,,QB,Tyrod Taylor (7558815),Tyrod Taylor,7558815,5200,Buf@LA 04:25PM ET,Buf,
,,,,,,,,,,QB,Matt Schaub (7558804),Matt Schaub,7558804,5000,Atl@Den 04:05PM ET,Atl,
,,,,,,,,,,QB,Austin Davis (7558805),Austin Davis,7558805,5000,Atl@Den 04:05PM ET,Den,
,,,,,,,,,,RB,Devonta Freeman (7558827),Devonta Freeman,7558827,5000,Atl@Den 04:05PM ET,Atl,
,,,,,,,,,,QB,Mark Sanchez (7558809),Mark Sanchez,7558809,5000,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,QB,AJ McCarron (7558811),AJ McCarron,7558811,5000,Cin@Dal 04:25PM ET,Cin,
,,,,,,,,,,QB,Jeff Driskel (7558813),Jeff Driskel,7558813,5000,Cin@Dal 04:25PM ET,Cin,
,,,,,,,,,,QB,Case Keenum (7558814),Case Keenum,7558814,5000,Buf@LA 04:25PM ET,LA,
,,,,,,,,,,QB,EJ Manuel (7558816),EJ Manuel,7558816,5000,Buf@LA 04:25PM ET,Buf,
,,,,,,,,,,QB,Sean Mannion (7558817),Sean Mannion,7558817,5000,Buf@LA 04:25PM ET,LA,
,,,,,,,,,,QB,Cardale Jones (7558818),Cardale Jones,7558818,5000,Buf@LA 04:25PM ET,Buf,
,,,,,,,,,,QB,Jared Goff (7558819),Jared Goff,7558819,5000,Buf@LA 04:25PM ET,LA,
,,,,,,,,,,QB,Kellen Clemens (7558820),Kellen Clemens,7558820,5000,SD@Oak 04:25PM ET,SD,
,,,,,,,,,,QB,Matt McGloin (7558822),Matt McGloin,7558822,5000,SD@Oak 04:25PM ET,Oak,
,,,,,,,,,,QB,Connor Cook (7558824),Connor Cook,7558824,5000,SD@Oak 04:25PM ET,Oak,
,,,,,,,,,,WR,Mohamed Sanu (7558865),Mohamed Sanu,7558865,4800,Atl@Den 04:05PM ET,Atl,
,,,,,,,,,,WR,Tyrell Williams (7558900),Tyrell Williams,7558900,4700,SD@Oak 04:25PM ET,SD,
,,,,,,,,,,RB,Giovani Bernard (7558835),Giovani Bernard,7558835,4400,Cin@Dal 04:25PM ET,Cin,
,,,,,,,,,,TE,Jason Witten (7558911),Jason Witten,7558911,4400,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,WR,Cole Beasley (7558876),Cole Beasley,7558876,4300,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,RB,Jeremy Hill (7558838),Jeremy Hill,7558838,4200,Cin@Dal 04:25PM ET,Cin,
,,,,,,,,,,TE,Tyler Eifert (7558915),Tyler Eifert,7558915,4200,Cin@Dal 04:25PM ET,Cin,
,,,,,,,,,,RB,Latavius Murray (7558852),Latavius Murray,7558852,4200,SD@Oak 04:25PM ET,Oak,
,,,,,,,,,,RB,Tevin Coleman (7558830),Tevin Coleman,7558830,4100,Atl@Den 04:05PM ET,Atl,
,,,,,,,,,,WR,Dontrelle Inman (7558896),Dontrelle Inman,7558896,4100,SD@Oak 04:25PM ET,SD,
,,,,,,,,,,TE,Antonio Gates (7558926),Antonio Gates,7558926,4000,SD@Oak 04:25PM ET,SD,
,,,,,,,,,,WR,Robert Woods (7558890),Robert Woods,7558890,3900,Buf@LA 04:25PM ET,Buf,
,,,,,,,,,,DST,Broncos  (7559042),Broncos ,7559042,3800,Atl@Den 04:05PM ET,Den,
,,,,,,,,,,WR,Terrance Williams (7558875),Terrance Williams,7558875,3800,Cin@Dal 04:25PM ET,Dal,
,,,,,,,,,,WR,Kenny Britt (7558884),Kenny Britt,7558884,3700,Buf@LA 04:25PM ET,LA,
,,,,,,,,,,WR,Tavon Austin (7558887),Tavon Austin,7558887,3700,Buf@LA 04:25PM ET,LA,
,,,,,,,,,,RB,Alfred Morris (7558832),Alfred Morris,7558832,3600,Cin@Dal 04:25PM ET,Dal,
