QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Julio Jones (7588436),Julio Jones,7588436,8900,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Jordy Nelson (7588444),Jordy Nelson,7588444,8000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Amari Cooper (7588428),Amari Cooper,7588428,7500,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Dez Bryant (7588445),Dez Bryant,7588445,7400,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,QB,Aaron Rodgers (7588389),Aaron Rodgers,7588389,7300,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,RB,Ezekiel Elliott (7588421),Ezekiel Elliott,7588421,7000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Michael Crabtree (7588422),Michael Crabtree,7588422,6900,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Russell Wilson (7588387),Russell Wilson,7588387,6900,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,Christine Michael (7588407),Christine Michael,7588407,6800,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,QB,Matt Ryan (7588385),Matt Ryan,7588385,6700,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,QB,Derek Carr (7588382),Derek Carr,7588382,6500,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Doug Baldwin (7588434),Doug Baldwin,7588434,6500,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Jeremy Maclin (7588423),Jeremy Maclin,7588423,6300,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,WR,Randall Cobb (7588449),Randall Cobb,7588449,6000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Dak Prescott (7588393),Dak Prescott,7588393,5900,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Eddie Lacy (7588416),Eddie Lacy,7588416,5800,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Alex Smith (7588379),Alex Smith,7588379,5700,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,Devonta Freeman (7588408),Devonta Freeman,7588408,5600,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,QB,Tony Romo (7588390),Tony Romo,7588390,5600,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Spencer Ware (7588400),Spencer Ware,7588400,5400,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,Jamaal Charles (7588395),Jamaal Charles,7588395,5100,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Nick Foles (7588380),Nick Foles,7588380,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Matt McGloin (7588381),Matt McGloin,7588381,5000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Tyler Bray (7588383),Tyler Bray,7588383,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Connor Cook (7588384),Connor Cook,7588384,5000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,TE,Travis Kelce (7588456),Travis Kelce,7588456,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Matt Schaub (7588386),Matt Schaub,7588386,5000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,QB,Trevone Boykin (7588388),Trevone Boykin,7588388,5000,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,QB,Mark Sanchez (7588391),Mark Sanchez,7588391,5000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,QB,Brett Hundley (7588392),Brett Hundley,7588392,5000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Joe Callahan (7588394),Joe Callahan,7588394,5000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,TE,Jimmy Graham (7588465),Jimmy Graham,7588465,4900,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,Tevin Coleman (7588410),Tevin Coleman,7588410,4800,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,RB,Latavius Murray (7588398),Latavius Murray,7588398,4400,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Cole Beasley (7588448),Cole Beasley,7588448,4400,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Mohamed Sanu (7588438),Mohamed Sanu,7588438,4300,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,RB,DeAndre Washington (7588402),DeAndre Washington,7588402,4200,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,RB,Thomas Rawls (7588409),Thomas Rawls,7588409,4200,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,TE,Jason Witten (7588472),Jason Witten,7588472,4200,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Davante Adams (7588452),Davante Adams,7588452,3900,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,RB,Jalen Richard (7588403),Jalen Richard,7588403,3800,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Terrance Williams (7588447),Terrance Williams,7588447,3800,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Tyler Lockett (7588442),Tyler Lockett,7588442,3600,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,DST,Seahawks  (7588564),Seahawks ,7588564,3600,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Brice Butler (7588446),Brice Butler,7588446,3500,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Charcandrick West (7588404),Charcandrick West,7588404,3400,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,C.J. Spiller (7588405),C.J. Spiller,7588405,3400,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,James Starks (7588413),James Starks,7588413,3400,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,RB,Alfred Morris (7588414),Alfred Morris,7588414,3300,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Chris Conley (7588426),Chris Conley,7588426,3100,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,WR,Seth Roberts (7588429),Seth Roberts,7588429,3100,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Jermaine Kearse (7588437),Jermaine Kearse,7588437,3100,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,Taiwan Jones (7588396),Taiwan Jones,7588396,3000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,RB,Anthony Sherman (7588397),Anthony Sherman,7588397,3000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,Knile Davis (7588399),Knile Davis,7588399,3000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,Jamize Olawale (7588401),Jamize Olawale,7588401,3000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Albert Wilson (7588424),Albert Wilson,7588424,3000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,WR,Andre Holmes (7588425),Andre Holmes,7588425,3000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,De'Anthony Thomas (7588427),De'Anthony Thomas,7588427,3000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,WR,Demarcus Robinson (7588430),Demarcus Robinson,7588430,3000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,WR,Johnny Holton (7588431),Johnny Holton,7588431,3000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Tyreek Hill (7588432),Tyreek Hill,7588432,3000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,Patrick DiMarco (7588406),Patrick DiMarco,7588406,3000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,RB,C.J. Prosise (7588411),C.J. Prosise,7588411,3000,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,Alex Collins (7588412),Alex Collins,7588412,3000,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Eric Weems (7588433),Eric Weems,7588433,3000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Aldrick Robinson (7588435),Aldrick Robinson,7588435,3000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Justin Hardy (7588439),Justin Hardy,7588439,3000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Paul Richardson (7588440),Paul Richardson,7588440,3000,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Tanner McEvoy (7588441),Tanner McEvoy,7588441,3000,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Taylor Gabriel (7588443),Taylor Gabriel,7588443,3000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,RB,Lance Dunbar (7588415),Lance Dunbar,7588415,3000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Rod Smith (7588417),Rod Smith,7588417,3000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Keith Smith (7588418),Keith Smith,7588418,3000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Aaron Ripkowski (7588419),Aaron Ripkowski,7588419,3000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,RB,Darius Jackson (7588420),Darius Jackson,7588420,3000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Jared Abbrederis (7588450),Jared Abbrederis,7588450,3000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Ty Montgomery (7588451),Ty Montgomery,7588451,3000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Trevor Davis (7588453),Trevor Davis,7588453,3000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Lucky Whitehead (7588454),Lucky Whitehead,7588454,3000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Jeff Janis (7588455),Jeff Janis,7588455,3000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,TE,Richard Rodgers (7588476),Richard Rodgers,7588476,2900,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,DST,Chiefs  (7588561),Chiefs ,7588561,2800,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,TE,Jacob Tamme (7588464),Jacob Tamme,7588464,2800,Atl@Sea 04:25PM ET,Atl,
