QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,QB,Christian Ponder (7530873),Christian Ponder,7530873,5000,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,QB,Blaine Gabbert (7530874),Blaine Gabbert,7530874,5000,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,QB,Nick Foles (7530878),Nick Foles,7530878,5000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,QB,Landry Jones (7530879),Landry Jones,7530879,5000,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,QB,Zach Mettenberger (7530880),Zach Mettenberger,7530880,5000,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,QB,Tyler Bray (7530881),Tyler Bray,7530881,5000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,QB,Shaun Hill (7530882),Shaun Hill,7530882,5000,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,QB,Josh Johnson (7530884),Josh Johnson,7530884,5000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,QB,Ryan Nassib (7530886),Ryan Nassib,7530886,5000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,TE,Travis Kelce (7531038),Travis Kelce,7531038,4800,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,RB,Rashad Jennings (7530933),Rashad Jennings,7530933,4700,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,TE,Antonio Gates (7531023),Antonio Gates,7531023,4600,NO@SD 04:25PM ET,SD,
,,,,,,,,,,WR,Victor Cruz (7530996),Victor Cruz,7530996,4600,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,TE,Jason Witten (7531030),Jason Witten,7531030,4500,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,WR,Tyrell Williams (7530973),Tyrell Williams,7530973,4400,NO@SD 04:25PM ET,SD,
,,,,,,,,,,WR,John Brown (7530959),John Brown,7530959,4300,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,RB,Shane Vereen (7530935),Shane Vereen,7530935,4300,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,RB,Carlos Hyde (7530917),Carlos Hyde,7530917,4200,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Markus Wheaton (7530988),Markus Wheaton,7530988,4100,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,WR,Tavon Austin (7530960),Tavon Austin,7530960,4000,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,WR,Kenny Britt (7530955),Kenny Britt,7530955,3900,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,DST,Cardinals  (7531222),Cardinals ,7531222,3900,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,RB,Alfred Morris (7530914),Alfred Morris,7530914,3900,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,WR,Torrey Smith (7530976),Torrey Smith,7530976,3900,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Cole Beasley (7530980),Cole Beasley,7530980,3900,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,RB,Jerick McKinnon (7530940),Jerick McKinnon,7530940,3900,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,WR,Michael Thomas (7530974),Michael Thomas,7530974,3800,NO@SD 04:25PM ET,NO,
,,,,,,,,,,DST,Broncos  (7531219),Broncos ,7531219,3700,Den@TB 04:05PM ET,Den,
,,,,,,,,,,WR,Sammie Coates (7530991),Sammie Coates,7530991,3600,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,DST,Vikings  (7531229),Vikings ,7531229,3600,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,RB,Dexter McCluster (7530905),Dexter McCluster,7530905,3500,NO@SD 04:25PM ET,SD,
,,,,,,,,,,WR,Eli Rogers (7530992),Eli Rogers,7530992,3500,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,WR,Vincent Jackson (7530942),Vincent Jackson,7530942,3400,Den@TB 04:05PM ET,TB,
,,,,,,,,,,RB,Chris Johnson (7530895),Chris Johnson,7530895,3400,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,WR,Jeremy Kerley (7530977),Jeremy Kerley,7530977,3400,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,RB,Charcandrick West (7530932),Charcandrick West,7530932,3400,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,TE,Kyle Rudolph (7531048),Kyle Rudolph,7531048,3400,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,WR,Jaron Brown (7530958),Jaron Brown,7530958,3300,LA@Ari 04:25PM ET,Ari,
